name,lat,lon
Güterbahnhof,47.3804363,8.5196824
Finken-Rain,47.4817929,8.6959576
Zentrum Töss,47.4912925,8.7063332
Bahnhofplatz/HB,47.3769147,8.5404941
Memphis,47.3997017,8.616444
Opernhaus,47.3654643,8.5475672
Haldenegg,47.3801303,8.5441031
Rautihalde,47.3868223,8.4734249
Albisriederplatz,47.3780501,8.5103941
Austrasse,47.4251722,8.5751645
Neuwiesen,47.4283433,8.5742512
Botanischer Garten,47.3592009,8.5574438
Uetlihof,47.3567467,8.5139925
Gusch,47.2773033,8.7185355
Dorflinde,47.4073252,8.5494892
Waldburg,47.3454892,8.5930969
Spital Zollikerberg,47.347331,8.5970611
Beugi,47.3364057,8.5753253
Niederhofenrain,47.3477832,8.5764644
Geeren,47.4082829,8.6830291
Zwielplatz,47.4021728,8.4964741
Zentrum Oberenstringen,47.4093576,8.461946
Paradies,47.4105494,8.4585896
Central Polybahn,47.3765183,8.544172
Polyterrasse ETH,47.3768321,8.5463207
Wallisellen Bahnhof,47.4127149,8.5927744
Saalsporthalle,47.3577983,8.5205463
Schmiede Wiedikon,47.3699939,8.5195879
Katholische Kirche,47.3648084,8.4625746
Langwies,47.3592009,8.4651319
Diebis,47.348932,8.4763002
Loomatt,47.3384992,8.4854731
Tägerst,47.2984595,8.487489
Gläseren,47.3735724,8.4486437
Roracher,47.3722393,8.4511578
Uitikon Dorf,47.3706294,8.453823
Untere Mühle,47.2592211,8.5980734
Schnegg,47.2479123,8.6063453
Hüttenstrasse,47.2389487,8.6169868
Mugern,47.2176364,8.6351928
Schinzenhof,47.2606845,8.5971899
Giessen,47.2235241,8.6830354
Enderholz,47.2264595,8.6108053
Wangen Dorfplatz,47.4105412,8.6457783
Langnau a.A. Dorf,47.2886029,8.5411749
Gattikerhöhe,47.2852101,8.5551281
Ebnet,47.2880003,8.5571314
"Männedorf, Auf Dorf",47.2568771,8.7033601
Beugen,47.2673091,8.6506165
Boldernstrasse,47.2583706,8.6999772
Morgental,47.3440851,8.5296731
"Männedorf, Kirchweg",47.2530299,8.6978888
Wingert,47.4105591,8.7124756
Kleindorf,47.2640899,8.6831678
Grüt,47.2713827,8.6705514
Grossdorf,47.2664045,8.6738965
Hallenbad,47.2723672,8.6457452
Vorderer Pfannenstiel,47.2855574,8.6799751
Bergstation Dolderbahn,47.3731699,8.5746371
Grünwald,47.4173177,8.4831586
Bahnhof Wiedikon,47.3715584,8.5240434
Hedy Hahnloser,47.4844837,8.694625
"Grüningen, Freihof",47.2778398,8.7591806
Glaubtenstrasse Nord,47.4147025,8.5197369
Kappelerstrasse,47.2225096,8.5011456
Unteralbis,47.2855676,8.5278562
Neubühl,47.2320723,8.6344618
Tanne,47.2027386,8.6602875
Sandhof,47.2193879,8.6694984
Tobelrain,47.2309082,8.6590226
Wisli,47.2039228,8.7109213
Kerag,47.205325,8.706598
Speerstrasse,47.2072328,8.6908593
Schwyzerstrasse,47.2024667,8.7100723
Horgen Oberdorf Bahnhof,47.2586702,8.5902142
Oeggisbüelplatz,47.2848893,8.5715622
Ebnet,47.2887093,8.5572786
Sagenbach,47.1970599,8.6812986
Oberhofen,47.4341343,8.8782263
Oberkempten,47.3290855,8.8230404
Kreuzackerstrasse,47.3313374,8.8077135
Höfli,47.2018977,8.7066198
Binzackerstrasse,47.3289391,8.8036069
Riedhofstrasse,47.4102395,8.4796791
Riedhofstrasse,47.4094712,8.4792151
Regensdorf-Watt Bahnhof,47.4366344,8.4728694
Kalchbühlweg,47.3403121,8.5315749
Manegg,47.3369553,8.5203704
Schulhaus Kopfholz,47.3082538,8.534192
Birmensdorf Zentrum,47.3538807,8.4371761
Oberhasli Dorf,47.4654269,8.5002338
Manesseplatz,47.3657459,8.5218483
Stallikon Dorf,47.3274429,8.4898742
Bächli,47.4397263,8.6349067
Chlupfgasse,47.4446917,8.6243809
Hätzelwisen,47.4101161,8.6429251
Hinentalstrasse,47.4254545,8.6081778
Bassersdorf Bahnhof,47.4387493,8.6261323
Industriestrasse,47.4142319,8.6219382
Regensdorf-Watt Bahnhof,47.4368031,8.4730427
Schwamendingerplatz,47.4045865,8.5717347
Talgüetli,47.4450292,8.6207327
Effretikon Zentrum,47.4278484,8.6864043
Effretikon Zentrum,47.427515,8.6864864
Erlen,47.483596,8.4711339
Niederhasli Dorf,47.4812084,8.4859523
Girhalde,47.4339551,8.6911435
Grafstal Oberdorf,47.4434258,8.6977168
Moosburg,47.4209764,8.6918108
Freienberg,47.4631258,8.583183
Opfikon Dorf,47.4322029,8.5780255
Huzlenstrasse,47.3931807,8.683689
Hintermarchlen,47.4817726,8.5898863
In der Ey,47.3696362,8.4918432
Bülach Güterbahnhof,47.5240548,8.5372449
Leimgrübelstrasse,47.4286223,8.5432417
Rigiblick,47.3873301,8.5533362
Buchhalden,47.4444394,8.5953244
Freienberg,47.4635213,8.5831204
Bahnhof Glattbrugg,47.4306401,8.5595666
Oberglatt Bahnhof,47.4703242,8.5108053
Untertor,47.51654,8.5421899
Untertor,47.5155335,8.5421606
Appenzellerstrasse,47.3988567,8.5101628
Kirche Fluntern,47.3762387,8.5592877
Alte Post,47.5269234,8.6687666
Langensteinenstrasse,47.3924951,8.5496687
Germaniastrasse,47.3874509,8.5525297
Seilbahn Rigiblick,47.3858838,8.5489474
Bänk Hanfland,47.5450387,8.7413239
Flaach Wesenplatz,47.5753496,8.6096469
Dietlikon Bahnhof/Bad,47.4216735,8.6205976
Balsberg Hardacher,47.4403914,8.5715817
Farbhof,47.3910598,8.4788409
Gemeindehaus,47.3407518,8.5759372
Steinacker,47.3963606,8.4263826
Neumatt,47.3869368,8.4205745
Thalwil Bahnhof,47.2958977,8.565201
Thalwil Zentrum,47.2947428,8.5646881
Eckstein,47.4103702,8.448915
Zopfschmitten,47.1929475,8.6756345
In der Au,47.3896336,8.6888375
Allmend,47.2709878,8.6483755
Ormis,47.2708259,8.6531833
Weid,47.2660061,8.6685043
Grueb,47.2666619,8.6593955
Limmatplatz,47.3849755,8.5321996
Reidbach,47.2210757,8.6847022
Wolfenhof,47.294763,8.4856156
Stallikon Dorf,47.3269624,8.4899846
Oberrenggstrasse,47.2824396,8.530044
Schwerzi-Wildpark,47.287398,8.533397
Technikum,47.4978137,8.7293658
Chaletweg,47.4133739,8.5310603
Birchstrasse,47.4130399,8.53576
Regensdorf Zentrum,47.4311183,8.4661351
Hauptbahnhof,47.4993478,8.723693
Sportanlage Wisacher,47.4376846,8.4607903
Dunkelhölzli,47.3885975,8.4703424
Schulhaus Buchlern,47.3846789,8.4785395
Escher-Wyss-Platz,47.3906783,8.5224005
